charge,smiles,b,s,o,n,homo,lumo,gap,sheafHOMO,sheafLUMO,sheafGAP,electrons
0,[H]B1C([H])=C([H])c2c([H])c([H])c3bc4c(bc3c21)c([H])c([H])c1c4c2c3c4c([H])c([H])c4c([H])c([H])c3c12,3,0,0,0,-5.3764,-2.0074,3.369,1.9301,2.0886,0.15850000000000009,24.0
0,[H]B1C([H])=C([H])c2c1c1c([H])c([H])c3c4c(c([H])c([H])c3c1c1c([H])c3c([H])c([H])c([H])bc3c([H])c21)C([H])=C4[H],2,0,0,0,-6.0259,-1.8706,4.1553,2.0276,2.3062,0.27859999999999996,25.0
0,[H]c1bc2c(bc1[H])-c1c-2c2c([H])c([H])c([H])c([H])c2c2c1c([H])c([H])c1c([H])c3c([H])c([H])c([H])c([H])c3c([H])c12,2,0,0,0,-6.2251,-1.1334,5.0917,1.8476,2.2777,0.4300999999999999,26.0
0,[H]B1c2bc3c([H])c4c([H])c5bc([H])c([H])c([H])c5c([H])c4c([H])c3bc2B([H])c2c1c([H])c1c([H])c([H])c([H])c([H])c1c2[H],5,0,0,0,-6.2402,-1.7218,4.5184,1.6867,1.7909,0.10419999999999985,25.0
0,[H]c1bc2c(c([H])c1[H])c([H])c([H])c1c([H])c3c([H])c4c([H])c5c([H])c([H])c([H])c([H])c5c([H])c4c([H])c3c([H])c12,1,0,0,0,-6.0599,-1.5668,4.4931,1.8409,2.3662,0.5253000000000001,25.0
0,[H]c1bc2c(bc1[H])c1c([H])c3c([H])c4c5c([H])c([H])c([H])c([H])c5c5c([H])c([H])c([H])c([H])c5c4c([H])c3c([H])c1c1c([H])c([H])c([H])c([H])c21,2,0,0,0,-6.2852,-1.0553,5.2299,1.8421,2.0,0.15789999999999993,32.0
0,[H]B1C([H])=C([H])c2c1c([H])c([H])c1c([H])c3c([H])c4bc5c([H])c6c([H])c([H])c([H])c([H])c6c([H])c5bc4c([H])c3c([H])c21,3,0,0,0,-5.0052,-2.1205,2.8847000000000005,1.7892,1.8955,0.10630000000000006,26.0
0,[H]B1C2=C(B([H])c3c([H])c([H])c([H])c([H])c3B2[H])C2=C1B([H])c1c(c([H])c3c([H])c4c([H])c5c([H])c([H])c([H])bc5c([H])c4c([H])c3c1[H])B2[H],6,0,0,0,-6.4091,-2.8601,3.5489999999999995,1.557,1.8205,0.26350000000000007,27.0
0,[H]c1bc2c([H])c([H])c3c4c([H])c5c([H])c6c([H])c([H])c([H])c([H])c6c([H])c5c([H])c4c4c([H])c5c(c([H])c([H])c6c([H])c([H])c([H])c([H])c65)c([H])c4c3c2c([H])c1[H],1,0,0,0,-6.3462,-1.2054,5.1408,2.0062,2.547,0.5408,37.0
0,[H]c1bc2c(c([H])c1[H])c([H])c([H])c1c3c([H])c4c([H])c([H])c4c([H])c3c21,1,0,0,0,-5.7717,-1.0378,4.7339,2.5016,2.5604,0.058800000000000185,17.0
0,[H]B1C([H])=C([H])c2bc3c(bc21)c([H])c([H])c1c([H])c2c([H])c([H])c4c([H])c([H])c([H])c([H])c4c2c([H])c13,3,0,0,0,-6.6338,-1.5992,5.0346,1.7055,1.9453,0.2398,22.0
0,[H]C1=c2c(c3c([H])c4c([H])c5c(c([H])c4c([H])c3c3c([H])c([H])bc([H])c23)c2c([H])c([H])c([H])c([H])c2c2c3bc([H])c([H])c([H])c3c([H])c([H])c52)=C1[H],2,0,0,0,-5.9823,-1.4131,4.5692,1.9667,2.3984,0.4317000000000002,34.0
0,[H]B1C([H])=C([H])B([H])c2c1bc1c([H])c3c4c([H])c([H])c([H])c([H])c4c4c([H])c([H])c([H])c([H])c4c3c([H])c1c2[H],3,0,0,0,-7.0439,-1.7517,5.292199999999999,1.8172,1.83,0.012800000000000145,23.0
0,[H]c1c([H])c([H])c2bc3c([H])c4bc5c([H])c6c([H])c7c(c([H])c([H])c8c([H])c([H])c([H])c([H])c87)c([H])c6c([H])c5bc4c([H])c3bc2c1[H],4,0,0,0,-4.7934,-1.795,2.9984,1.7161,1.8529,0.13680000000000003,30.0
0,[H]c1bc2bc3c([H])c([H])c4c(c([H])c([H])c5c6c([H])c7c([H])c([H])c([H])c([H])c7c([H])c6c([H])c([H])c54)c3bc2bc1[H],4,0,0,0,-5.4138,-1.2418,4.172000000000001,1.6152,1.8486,0.23340000000000005,26.0
0,[H]c1c([H])c([H])c2c([H])c3bc4c([H])c5c(c([H])c4bc3c([H])c2c1[H])=c1c([H])c2c([H])c3c([H])c4c([H])c([H])c([H])c([H])c4c([H])c3c([H])c2c([H])c1=5,2,0,0,0,-5.415,-1.5439,3.8711,1.8198,2.0,0.18019999999999992,34.0
0,[H]B1C([H])=C([H])c2bc3c(bc21)c([H])c([H])c1c([H])c([H])c([H])c([H])c13,3,0,0,0,-6.6572,-1.4278,5.2294,1.51,1.8851,0.3751,14.0
0,[H]c1c([H])c([H])c2bc3c([H])c4bc5c([H])c6c([H])c([H])c([H])c([H])c6c([H])c5bc4c([H])c3bc2c1[H],4,0,0,0,-4.6723,-1.5607,3.1116,1.6045,1.7589,0.15439999999999987,22.0
